#Frame        chi1:41      chi2:41
     820     -76.3812     105.7404
     821     -87.1661     112.0755
     822     -81.0209     104.6959
     823     -75.3359     115.9158
     824     -75.0154      93.8355
     825     -79.4375     100.4716
     826     -65.1586     110.4142
     827     -76.7678     108.3733
     828     -59.2822     106.1711
     829     -70.7604      94.8524
     830     -68.6039     107.6707
     831     -68.1938      91.4185
     832     -75.1838     104.6663
     833     -64.3662     105.0316
     834     -67.2149     104.3681
     835     -75.0206     100.1505
     836     -67.3463      92.5538
     837     -72.2957     119.6209
     838     -75.7112     106.7259
     839     -68.1007     104.0689
     840     -69.5736     101.0535
     841     -66.3413     105.4821
     842     -83.5281     100.5357
     843     -72.8058      92.6274
     844     -74.1145     112.8699
     845     -77.7886      97.7831
     846     -70.4922     103.2787
     847     -73.5314     117.2431
     848     -73.9835     100.7161
     849     -79.9261     106.3549
     850     -75.6267     123.7230
     851     -73.2643     102.8777
     852     -72.1337      87.8113
     853     -71.6160     112.6877
     854     -69.9152     102.6992
     855     -80.8475      98.9506
     856     -69.7791     113.4171
     857     -68.7192      96.4076
     858     -77.0127     100.4216
     859     -66.1658     110.7905
     860     -66.9836     110.7425
     861     -88.1368     111.8869
     862     -75.9583     114.4031
     863     -63.8571      89.9378
     864     -78.2829     101.9448
     865     -68.4808     116.4632
     866     -69.7307      98.4154
     867     -70.2519     106.5334
     868     -68.9193     114.0488
     869     -67.7138      89.4735
     870     -73.9797     111.2136
     871     -81.2326      99.6733
     872     -74.8701     100.8914
     873     -77.2499     103.3369
     874     -79.6438     110.8536
     875     -75.1947     105.7176
     876     -76.2134     107.9195
     877     -67.6144     108.4695
     878     -80.0478     117.8144
     879     -63.7134     122.2813
     880     -71.9455     109.8833
     881     -72.9847     119.9161
     882     -71.0492     107.0325
     883     -68.0599      89.4717
     884     -67.3987     102.8588
     885     -79.3658     104.4247
     886     -73.1966     101.5887
     887     -73.1661     118.7654
     888     -60.6828     102.9590
     889     -70.9062     110.5888
     890     -73.6186     105.6758
     891     -71.9180     102.1797
     892     -70.4255     111.8843
     893     -71.9605      97.0214
     894     -70.4054      98.8392
     895     -56.9365     103.6336
     896     -68.7521     109.5097
     897     -63.5436     102.2300
     898     -69.9622     101.7570
     899     -70.9592     128.5143
     900     -66.0391     104.9635
     901     -74.8585     118.4455
     902     -72.2274     107.3259
     903     -80.5310     108.8506
     904     -76.8817     109.6417
     905     -75.3459      93.8743
     906     -60.5375     109.3952
     907     -81.7060     111.8887
     908     -66.3658      98.1207
     909     -69.9331     105.6057
     910     -80.7153     105.6138
     911     -80.3068     110.3868
     912     -79.7500     103.6534
     913     -69.9116      99.8087
     914     -82.2757      95.6643
     915     -72.1304     100.5471
     916     -77.0392     107.3718
     917     -70.7289     101.8945
     918     -68.8543     114.9425
     919     -70.4658      94.6402
     920     -57.3774     101.5201
     921     -69.8632     114.9381
     922     -75.1118     120.7292
     923     -64.2203     110.8316
     924     -72.4129     119.0224
     925     -75.0703     102.7663
     926     -62.9975     115.6121
     927     -78.0397      88.5259
     928     -82.2165      99.3174
     929     -69.8817      94.5241
     930     -81.8305     106.7915
     931     -70.2867     100.5612
     932     -70.0393     109.9237
     933     -68.6168     100.7163
     934     -80.8170     103.9000
     935     -66.3908     108.9994
     936     -82.5574     104.4840
     937     -73.9479     105.6023
     938     -85.8637     101.9605
     939     -69.5114     108.3168
     940     -63.6238     100.7715
     941     -62.7327     106.3503
     942     -71.6499      84.2664
     943     -57.9718     102.8083
     944     -58.8782     101.7489
     945     -64.0571      89.9723
     946     -74.2013     107.8303
     947     -65.6223     117.2882
     948     -67.0464     100.3386
     949     -72.7508      89.7669
     950     -78.2118     111.4806
     951     -79.6202     106.0942
     952     -69.0889     112.7620
     953     -72.8100      97.6341
     954     -73.1625      96.4728
     955     -75.6917     103.1364
     956     -68.1928     108.8987
     957     -78.8638     109.1089
     958     -82.3488     100.5513
     959     -67.2103     105.2615
     960     -58.2796     102.1217
     961     -72.5377     115.0501
     962     -67.0333     113.4477
     963     -70.9512     104.7025
     964     -65.3728     101.2058
     965     -73.7718     114.1764
     966     -74.8605     109.2633
     967     -69.4707      99.9994
     968     -82.9105     116.2094
     969     -76.6509     106.0076
     970     -61.8345     104.0247
     971     -62.4352     109.9391
     972     -75.8856     118.1848
     973     -78.4866     109.1998
     974     -73.7184     106.3434
     975     -76.8840     106.5358
     976     -75.4645     116.1097
     977     -68.0886      99.2524
     978     -68.9284     106.0613
     979     -75.7122     110.2542
     980     -64.5090      87.1481
     981     -74.7077     101.8274
     982     -71.7964      88.0995
     983     -79.4109     105.4569
     984     -62.1578     110.1785
     985     -62.5158      90.4418
     986     -73.1227      94.8592
     987     -73.9515     109.0070
     988     -70.7421     116.0265
     989     -59.1252     105.1057
     990     -69.5955     116.6190
     991     -74.0516     122.0729
     992     -68.1455     102.0365
     993     -57.5645     104.5521
