#Frame       chi1:129     chi2:129
     604     -70.3430     116.0158
     605     -72.6267     114.9315
     606    -179.9103      93.6136
     607     168.8992      83.8368
     608     -72.9010     109.8606
     609     -77.0965      87.0020
     610     159.7849      80.5409
     611     -75.0449      94.3778
     612     -76.9777     103.4088
     613     162.3093     101.2544
     614     166.6389      78.4127
     615     160.2989      86.0217
     616     -70.9561     114.7099
     617     177.3531      83.1383
     618     -86.6802     103.8037
     619     161.9739     104.3684
     620     -62.0356     107.0957
     621     -72.3683     118.0304
     622     -72.0022      85.9677
     623     -86.8012     105.5135
     624     -73.5355     108.3349
     625     -92.0323     112.0150
     626     162.2276      92.1619
     627     168.7886      67.9943
     628     -78.2619     104.6967
     629    -178.5781      99.4365
     630     -69.8416     111.7958
     631     -87.7887      86.4481
     632     175.8105      89.7048
     633     171.5288      71.4313
     634     -78.2540     109.0670
     635     -69.1996      97.7284
     636     159.3275      77.1619
     637     171.5756      68.3277
     638     161.8161      74.5245
     639     159.7860      77.5699
     640     161.1635      92.9519
     641     -79.6260     108.4472
     642     166.1877      80.0315
     643     159.3401      97.3639
     644     169.7731      91.0480
     645     174.2801      79.0562
     646     -71.9340     100.4726
     647     168.8510      81.2129
     648     -86.2197     106.3490
     649     163.3535      79.3009
     650     162.9174      87.7326
     651     -68.0632     104.7451
     652     -85.3869     107.6075
     653     168.6450      79.7600
     654     -70.0149      77.1475
     655     -87.4492     100.2611
     656     173.8831      91.2012
     657     150.0437      88.4628
     658     -62.9073      91.7022
     659     -77.8986      92.7286
     660     -73.2630      93.6130
     661     -70.7335      77.5103
     662     -71.9935     102.2844
     663     167.7615      87.5772
     664     -58.4112     102.4965
     665     176.1820      88.3595
     666     167.1674      87.4026
     667     153.6188      80.2932
     668     166.0849      84.7763
     669    -100.1310      92.8474
     670     160.2343      74.9486
     671     -85.2167     104.9025
     672     -71.0377     100.0796
     673     172.4992      93.5058
     674    -166.5351      82.9494
     675    -163.5122      82.0846
     676     -83.7823      89.9654
     677     -63.0072      97.8198
     678     160.7442      77.5393
     679     156.4651      86.7974
     680     -84.4057      82.2718
